Campaign,Campaign Type,Networks,Budget,Budget type,Bid Strategy Type,Maximum CPC bid limit,Languages,Location,Location target type,Ad rotation,Final URL suffix,Campaign Status
Search - AU - Fractional CTO,Search,Google search,25.00,Daily,Maximize clicks,12.00,en,Australia,Presence,Optimize,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Enabled
Search - AU - Research intent,Search,Google search,10.00,Daily,Maximize clicks,6.00,en,Australia,Presence,Optimize,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword},Paused
